review,label,genre
"I saw Squid game. It felt good. But not as good as the whole world was saying. The two reasons for this popularity are the unique storyline and Korean involvement. Major flaws exist. Unnecessary showed bad quality sex scene. There was a forceful storyline. Could have shown more murders. English dubbing was very bad. But the Hindi dubbing was very good. Hindi dubbing was far better than perfect. The dual element of entertainment was suspense & production design.Marvel's Loki is much better than this. But if you see it, you will not understand anything. Because to watch it, you have to watch the entire Infinity Saga (total 23 movies) first.",neutral,"Action, Drama, Mystery"
"When I first saw the trailer, I knew I would watch this show in one day. It is a nice thriller drama that kept me hook throughout. The games that were played and the relationships between the characters is what got me into this show even more. Ending was somewhat predictable, but it was still a good show to watch. I do recommend for you to watch it.",positive,"Action, Drama, Mystery"
"Was released today and I was hooked by the first 20 minutes. I finished it all the same day , if there was more seasons I would've been watching the next episodes as I'm typing this up right now. Very good series that will have you at the edge of your seat with many twists and turns. Once you think you know what's coming next , it hits you with a curveball. Highly recommended .You can watch this in one day easily as I did & it was just released a couple hours ago haha .",positive,"Action, Drama, Mystery"
"Hype that will not stand up with time. This series does not measure up to the standards of good, much less great, Korean Drama. The cast is excellent, of course (except for the VIPs, though the inside joke on American actors is rich), but the plot is predictable from the beginning through to the end. From the moment 001 (the old man's number is a heavy-handed hint) showed up, the repetition mixed in with violence and gore was evident, and the outcome was always predictable. Yes there will be a second, and yes I will watch it because the actors are superb. But it still is not in the class of finest KDramas.However. Blessings on Netflix for bringing international film to the world. But just promote films; don't intrude on them-you don't have the moxie much less the gift.",neutral,"Action, Drama, Mystery"
"This series is so overrated. But let's be fair, it's a very good series. I've watched a few movies about it. The script was good. Acting was sometimes exaggerated, maybe it's a cultural thing. I did not like the final part. Overall very well done. In the final episode, my expectation was different. But the final scene was disappointing. Season 2 will come, I hope it doesn't fall into ""La Casa De Papel"" status.",neutral,"Action, Drama, Mystery"
"*light spoilers of plot details*Squid Game is a story about a large group of deeply indebted Korean citizens who willingly take part in a deadly game in the hopes of taking away a massive cash prize at the expense of the other participants' lives.Now, that's all well and good. Who doesn't love a good show of violence and human selfishness? There are many great character moments in this series, moments of shameless manipulation, hopefuly na챦vety, and self deception. However, this story paints the lives of the participants in a way that is often boring, uninteresting, and downright unbelievable. Honestly, none of the characters act like real people, and there are several GLARING plot holes and nonsensical plot points to boot; for example, 456 people go missing at the exact same time, staying missing for three days, 255 of them NEVER RETURNED, and absolutely nobody, anywhere, seems to notice this insane phenomenon that would've made international headlines in the real world. I mentioned this to a friend, and he pointed out a detail that I missed: these games have been going on FOR YEARS. How have several mass kidnappings, involving hundreds of people disappearing in a single day, remain completely unnoticed by anybody? Wouldn't the police be taking missing person reports more seriously by now? How... that's it, just how. How? How. Any of this, all of this, just how.But, don't worry, because our main character, the very sane man that he is, goes to the police! Good boy, maybe we can do something about this mass murder! However, none of the officers take him seriously. So, what's his next move? Go to a different police station? Call a news outlet? Nope. Our hero gave up right then and there. Didn't even write a blog about the horror show he was subject to, he just fully gave up because the police were mean to him. He saw more than 200 people shot to death in a goofy red light green light death game, almost died himself, and this is the best he can do to for all those dead people. I suppose we have to assume that nobody else went to the police, and if they did, they were also laughed into complete silence. All I can say is... how? How. The only police officer who did half of his job was a detective who overheard our main character, and only because his brother is one of the people who went missing, decides to investigate it OFF THE BOOKS, conveniently informing noone of his investigation or wherabouts. First of all, the fact that he's only investigating this because his brother is missing is mind blowingly selfish. Second of all, WHY DIDN'T HE WRITE ANY OF THIS DOWN? Is this guy even a real cop, or is he just role playing? HOW IS ANY OF THIS HAPPENING THE WAY IT'S HAPPENING? HOW DID NOBODY NOTICE THAT 456 PEOPLE WERE MISSING FOR 3 DAYS, AND 255 OF THEM NEVER RETURNED? Honestly, once the detective character goes all Solid Snake and hops on the bad guy boat, not making any calls to his unit, with nothing but a pistol and a cell phone, you have to wonder ""How bad are things in South Korea right now?"" It must be damn near post apocalyptic over there for this groundbreaking case to be in the hands of a madman who probably isn't actual law enforcement.Speaking of the plot, I couldn't write about this show without discussing the insane premise that it relies upon: all of our main characters decided to take part in a game that would kill all but one of them. All participants are made aware of this fact, and surely realize the simple reality that they and everyone they met during the first game have virtually no chance of survival, yet nobody acts as if this is the case. Only 3% of the people who were unknowingly thrust into a lethal game and witnessed 255 people killed before their very eyes decided that their lives weren't bad enough to warrant throwing them away in a game that only one person could survive. Not even gonna ask how on that one, I'm just gonna call bulls**t. Everyone with a family and loved ones, everyone who voted to end the games after the first session of bloody horror, all of them determined that they, in fact, had no reason to live OR were going to die anyway, and every last one of them decided that the only chance they had at a normal life was to give the murder games another shot. Who cares about the odds, amiright? Furthermore, our beloved main characters, all stupid enough to enter this lethal lottery, continue to develop friendships between and during each murder game, forever in denial of the fact that they will die. I don't understand how any of these people, excluding the actual psychopaths, can rationalize reentering the game. Sure, maybe they didn't even consider the odds, maybe all of these degenerate gamblers are so stupid and so arrogant that they all believe they will be the sole victor. Why not. However, that hardly explains why a married couple entered the games, knowing for a fact that AT LEAST one of them would die, and the husband had the imbecilic audacity to get upset when his wife died. What did you think was going to happen? I knew what was going to happen, and we both have the same information, so why didn't you know what was going to happen? I found myself frequently asking my television this question during my initial viewing of this series.There are too many impossibly irrational character choices in this show to list, and far too many for a critical viewer to ignore. Without reasonable people or a remotely well thought-out story, it's damn near impossible to suspend my disbelief. I watched it anyway, just to see how much further down the plot hole-hole it could go, and thought ut technically could have been worse, the story would have had to change my life to counteract the inexcusable implausibility. By the way, the last episode is aost unwatchably dull and features two very different yet equally flacid plot twists. Also, the first two games are the only decent ones, and they all kinda suck after that.Really quick, before I wrap this up, let's do a plot hole/stupid character choices lightning round: having the elderly founder participate in the games, including several physically demanding ones like tug of war, is an impossibly stupid gamble; metal detectors exist, the squid games facility might consider trying them; the rules of every game arbitrarily change in favor of the plot; tempered glass refracts light differently than normal glass, such that just about anybody could see the difference; Gi-hun's gambling debt put him is such a dangerous situation with loan sharks, yet he was able to survive for years without touching his money. I'm getting tired at this point, so I'll just leave it at that.If you don't give a good god damn about attention to detail, and you like a mediocre, violent spectacle that comes to a grinding hault for frequent and irritating character drama, this might just be the series for you. Also, the production design was actually quite fascinating, so if that's something that interests you, watch an episode or two.",negative,"Action, Drama, Mystery"
Please remove all traces of the VIPs and you can get the 2 stars back.,neutral,"Action, Drama, Mystery"
"First episode was great, then the story fell into emotional moments clich챕, come on, at least not in second episode. What's going on? But gladly, the episode 3 was back to good, however my excitement didn't last. Since round 5 the game started to be boring, in fact the 4th game was already not so good, but round 5 was a new low, it is an unsuccessful copy from Kaji, the Japanese manga, and 16 players for 18 choices can be a dead end for the game, so they drag out a former glass worker to help them to finish the game, and at that point I found the show is overrated. And I was right, the final game is nothing but a boring friend-kill-each-other. After victory they made most of final episode to justify the season 2 and why protagonist want to join new game. OK, I got it, Netflix, season 2 is on the way.Btw, I realized 001 was too smart to be a loser at 4th round, just don't know he was the holder all the time. So, it isn't a big WTF moment to me.",negative,"Action, Drama, Mystery"
"This is the proof people are still fans of predictable stories. If this is the 2021 most mainstream TV series, something is definitely off. Except for a few moments and interesting parts when they participate in the game, everything else is filled with already seen stuff. Main character's morality is selectable/clashing in different situations, ridiculous plot twists and most of all, acting and dialogue of ""rich people watching"" is major cringe. I would avoid this, except if you really want to see why is this so popular.",negative,"Action, Drama, Mystery"
"Great plot, great acting, and all around great show. One of the best series I've seen on netflix in a very long time. Korean cinema is absolutely the best with their story telling. 10/10!!",positive,"Action, Drama, Mystery"
"Squid Game is a brilliant metaphor for several things, but especially capitalism. 456 broken and bankrupt rats are set on a deadly race for a vast prize in an absurd and cartoonish version of hell. And who would willingly leave hell if there was even a chance, however outlandish, that staying might suddenly make them a billionaire? Very little of this series otherwise makes sense, and it makes an absolute meal of it.There are similarities to shows like Battle Royale or Alice in Borderland, but Squid Game does a much better job of making characters believable and likeable. Even passing characters feel like actual people, so you care for the thirty seconds or so that you get to know them before they pass.The design of the show is brilliant, the performances are all excellent. The danger feels real and the jokes are genuinely funny. I'm only on episode 2, but I love this show already. Personally, I like it better than Alice in Borderland.EDIT: Just very quickly, a lot of reviews on here are mentioning the cringeworthy acting and dialogue of the VIPs. I agree, but I think there must be a reason for this. It seems unlikely that the same people who cast, wrote and directed all the other terrific performances suddenly lost the ability to cast, write for and direct non-Koreans. It seems more likely their relative cartoonishness had a specific meaning and purpose... even if we haven't figured out what it is, yet.",neutral,"Action, Drama, Mystery"
"Korean Hunger Games with better acting and much more relatable themes. The plot allegory focuses on the rampant exploitation of poor and desperate people, with the initial invitation to play the game and everything that follows appealing to their need to clear debts. This soon becomes about something much bigger and darker. Not for the squeamish.No spoilers, but I will say I'm a vehement anti-binger when it comes to my viewing habits. In the 10-odd hour runtime of this series, though, I stopped only to sleep and make a chicken wrap.",positive,"Action, Drama, Mystery"
I m falling shortage of words. All i can say is it is 100/100 and a must watch for all thriller show lovers. All episodes are worth watching.,positive,"Action, Drama, Mystery"
